FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
611,mixed hardwood,LIST2,Liquidambar styraciflua L.,sweetgum,Hamamelidaceae,tree,Liquidambar,styraciflua,0.749,hw3,-2.48,2.4835,Hamamelidaceae,hardwood,Hardwood,0.46,-2.639,2.5466
621,mixed hardwood,LITU,Liriodendron tulipifera L.,tuliptree,Magnoliaceae,tree,Liriodendron,tulipifera,0.852,hw3,-2.48,2.4835,Magnoliaceae,hardwood,Hardwood,0.4,-2.5497,2.5011
NA,woodland,LIVU,Ligustrum vulgare L.,European privet,Oleaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,LOCA7,Lonicera canadensis W. Bartram ex Marshall,American fly honeysuckle,Caprifoliaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LOIN4,Lonicera interrupta Benth.,chaparral honeysuckle,Caprifoliaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LOJA,Lonicera japonica Thunb.,Japanese honeysuckle,Caprifoliaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LOMA6,Lonicera maackii (Rupr.) Herder,Amur honeysuckle,Caprifoliaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LOMO2,Lonicera morrowii A. Gray,Morrow's honeysuckle,Caprifoliaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LONIC,Lonicera L.,honeysuckle,Caprifoliaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,LUAL4,Lupinus albifrons Benth.,silver lupine,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,LYBE,Lycium berlandieri Dunal,Berlandier's wolfberry,Solanaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYCIU,Lycium L.,desert-thorn,Solanaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYEX,Lycium exsertum A. Gray,Arizona desert-thorn,Solanaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYFE,Lyonia ferruginea (Walter) Nutt.,rusty staggerbush,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYLI,Lyonia ligustrina (L.) DC.,maleberry,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYLIL,Lyonia ligustrina (L.) DC. var. ligustrina,maleberry,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYLU3,Lyonia lucida (Lam.) K. Koch,fetterbush lyonia,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,LYONI,Lyonia Nutt.,staggerbush,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
651,mixed hardwood,MAAC,Magnolia acuminata (L.) L.,cucumber tree,Magnoliaceae,tree,Magnolia,acuminata,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
655,mixed hardwood,MAFR,Magnolia fraseri Walter,mountain magnolia,Magnoliaceae,tree,Magnolia,fraseri,0.84,hw3,-2.48,2.4835,Magnoliaceae,hardwood,Hardwood,0.4,-2.5497,2.5011
650,mixed hardwood,MAGNO,Magnolia L.,magnolia,Magnoliaceae,tree,NA,NA,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
652,mixed hardwood,MAGR4,Magnolia grandiflora L.,southern magnolia,Magnoliaceae,tree,Magnolia,grandiflora,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,MAGR9,Mammillaria grahamii Engelm.,Graham's nipple cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,,MAIN3,Mangifera indica L.,mango,Anacardiaceae,tree,Mangifera,indica,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,mixed hardwood,MALUS,Malus Mill.,apple,Rosaceae,shrub/tree,Malus,spp.,NA,NA,-2.48,2.4835,NA,NA,NA,NA,NA,NA
654,mixed hardwood,MAMA2,Magnolia macrophylla Michx.,bigleaf magnolia,Magnoliaceae,tree,Magnolia,macrophylla,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,MANE2,Mahonia nervosa (Pursh) Nutt.,Cascade barberry,Berberidaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,mixed hardwood,MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange,Moraceae,tree,Maclura,pomifera,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7699,,MAPO5,Maytenus ponceana Britton,ponce mayten,Celastraceae,shrub,Maytenus,ponceana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7630,,MAPO6,Machaonia portoricensis Baill.,Puerto Rico alfilerillo,Rubiaceae,shrub,Machaonia,portoricensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,mixed hardwood,MATR,Magnolia tripetala (L.) L.,umbrella-tree,Magnoliaceae,tree,Magnolia,tripetala,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,MAUN3,Macfadyena unguis-cati (L.) A.H. Gentry,catclawvine,Bignoniaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
653,mixed hardwood,MAVI2,Magnolia virginiana L.,sweetbay,Magnoliaceae,tree,Magnolia,virginiana,0.792,hw3,-2.48,2.4835,Magnoliaceae,hardwood,Hardwood,0.4,-2.5497,2.5011
993,mixed hardwood,MEAZ,Melia azedarach L.,Chinaberrytree,Meliaceae,tree,Melia,azedarach,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7717,,MEBI,Melicoccus bijugatus Jacq.,Spanish lime,Sapindaceae,shrub,Melicoccus,bijugatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7724,,MECL,Melicope clusiifolia (A. Gray) T.G. Hartley & B.C. Stone,kukaemoa,Rutaceae,shrub,Melicope,clusiifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,MEFE,Menziesia ferruginea Sm.,rusty menziesia,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7754,,MELIC3,Melicope (J.R. Forst. & G. Forst.) T.G. Hartley & B.C. Stone,melicope,Rutaceae,shrub,Melicope,spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7783,woodland,MEPO5,Metrosideros polymorpha Gaudich.,'ohi'a lehua,Myrtaceae,shrub/tree,Metrosideros,polymorpha,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7749,,MERA2,Melicope radiata (H. St. John) T.G. Hartley & B.C. Stone,kapu melicope,Rutaceae,shrub,Melicope,radiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,mixed hardwood,MOAL,Morus alba L.,white mulberry,Moraceae,tree,Morus,alba,0.932,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7845,woodland,MOCE2,Morella cerifera (L.) Small,wax myrtle,Myricaceae,shrub/tree,Morella,cerifera,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,MORU,Monarda russeliana Nutt. ex Sims,redpurple beebalm,Lamiaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,mixed hardwood,MORU2,Morus rubra L.,red mulberry,Moraceae,tree,Morus,rubra,0.932,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,MORUS,Morus L.,mulberry,Moraceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7869,,MUEX2,Murraya exotica L.,Chinese box,Rutaceae,shrub,Murraya,exotica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7922,woodland,MYLE2,Myrsine lessertiana A. DC.,kolea lau nui,Myrsinaceae,shrub/tree,Myrsine,lessertiana,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
7883,,MYSA,Myoporum sandwicense (A. DC.) A. Gray,naio,Myoporaceae,,Myoporum,sandwicense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7926,woodland,MYSA2,Myrsine sandwicensis A. DC.,kokea lau li'i,Myrsinaceae,shrub/tree,Myrsine,sandwicensis,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
691,mixed hardwood,NYAQ2,Nyssa aquatica L.,water tupelo,Cornaceae,tree,Nyssa,aquatica,0.841,hw3,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
694,mixed hardwood,NYBI,Nyssa biflora Walter,swamp tupelo,Cornaceae,tree,Nyssa,biflora,0.841,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
690,mixed hardwood,NYSSA,Nyssa L.,tupelo,Cornaceae,tree,NA,NA,0.841,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
693,mixed hardwood,NYSY,Nyssa sylvatica Marshall,blackgum,Cornaceae,tree,Nyssa,sylvatica,0.841,hw3,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,OECE,Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon,Indian plum,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,OPEN3,Opuntia engelmannii Salm-Dyck ex Engelm.,cactus apple,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,OPMA8,Opuntia macrocentra Engelm.,purple pricklypear,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,OPPH,Opuntia phaeacantha Engelm.,tulip pricklypear,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,OPUNT,Opuntia Mill.,pricklypear,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,mixed hardwood,OSVI,Ostrya virginiana (Mill.) K. Koch,hophornbeam,Betulaceae,tree,Ostrya,virginiana,0.84,hw3,-2.48,2.4835,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
711,mixed hardwood,OXAR,Oxydendrum arboreum (L.) DC.,sourwood,Ericaceae,tree,Oxydendrum,arboreum,0.84,hw3,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,PAFL6,Parkinsonia florida (Benth. ex A. Gray) S. Watson,blue paloverde,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,PAIN2,Parthenium incanum Kunth,mariola,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,PAQU,Panax quinquefolius L.,American ginseng,Araliaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,PAQU2,Parthenocissus quinquefolia (L.) Planch.,Virginia creeper,Vitaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,mixed hardwood,PATO2,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree,Scrophulariaceae,tree,Paulownia,tomentosa,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
7211,woodland,PEAM3,Persea americana Mill.,avocado,Lauraceae,shrub/tree,Persea,americana,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
721,woodland,PEBO,Persea borbonia (L.) Spreng.,redbay,Lauraceae,shrub/tree,Persea,borbonia,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,PEGR3,Peniocereus greggii (Engelm.) Britton & Rose,nightblooming cereus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6511,woodland,PEPA37,Persea palustris (Raf.) Sarg.,swamp bay,Lauraceae,shrub/tree,Persea,palustris,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
8131,,PESA3,Perrottetia sandwicensis A. Gray,olomea,Celastraceae,shrub,Perrottetia,sandwicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,PHEP,Phyllanthus epiphyllanthus L.,swordbush,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,PHHI2,Philadelphus hirsutus Nutt.,streambank mock orange,Hydrangeaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,spruce,PIAB,Picea abies (L.) Karst.,Norway spruce,Pinaceae,tree,Picea,abies,0.631,sw5,-2.0773,2.3323,PiceaAbove0.35spg,conifer,Conifer,0.37,-2.1364,2.3233
8169,woodland,PIAC,Pictetia aculeata (Vahl) Urb.,fustic,Fabaceae,tree,Pictetia,aculeata,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
101,pine,PIAL,Pinus albicaulis Engelm.,whitebark pine,Pinaceae,tree,Pinus,albicaulis,0.458,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
8211,woodland,PIAL3,Pisonia albida (Heimerl) Britton ex Standl.,corcho bobo,Nyctaginaceae,shrub/tree,Pisonia,albida,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,spruce,PICEA,Picea A. Dietr.,spruce,Pinaceae,tree,NA,NA,0.84,sw5,-2.0773,2.3323,PiceaAbove0.35spg,conifer,Conifer,0.37,-2.1364,2.3233
107,pine,PICL,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,sand pine,Pinaceae,tree,Pinus,clausa,1.011,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
108,pine,PICO,Pinus contorta Douglas ex Loudon,lodgepole pine,Pinaceae,tree,Pinus,contorta,0.883,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
108,pine,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,lodgepole pine,Pinaceae,tree,Pinus,contorta,0.883,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
8220,woodland,PIDU,Pithecellobium dulce (Roxb.) Benth.,monkeypod,Fabaceae,tree,Pithecellobium,dulce,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
110,pine,PIEC2,Pinus echinata Mill.,shortleaf pine,Pinaceae,tree,Pinus,echinata,0.763,sw4,-2.5356,2.4349,PinusAbove0.45spg,conifer,Conifer,0.47,-3.0506,2.6465
106,pine,PIED,Pinus edulis Engelm.,twoneedle pinyon,Pinaceae,tree,Pinus,edulis,0.352,sw4,-2.5356,2.4349,Pinaceae,woodland,Woodland,0.51,-3.2007,2.5339
111,pine,PIEL,Pinus elliottii Engelm.,slash pine,Pinaceae,tree,Pinus,elliottii,0.922,sw4,-2.5356,2.4349,PinusAbove0.45spg,conifer,Conifer,0.47,-3.0506,2.6465
93,spruce,PIEN,Picea engelmannii Parry ex Engelm.,Engelmann spruce,Pinaceae,tree,Picea,engelmannii,0.442,sw5,-2.0773,2.3323,PiceaBelow0.35spg,conifer,Conifer,0.33,-3.03,2.5567
113,pine,PIFL2,Pinus flexilis James,limber pine,Pinaceae,tree,Pinus,flexilis,0.458,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
94,spruce,PIGL,Picea glauca (Moench) Voss,white spruce,Pinaceae,tree,Picea,glauca,0.608,sw5,-2.0773,2.3323,PiceaAbove0.35spg,conifer,Conifer,0.37,-2.1364,2.3233
115,pine,PIGL2,Pinus glabra Walter,spruce pine,Pinaceae,tree,Pinus,glabra,1.011,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
116,pine,PIJE,Pinus jeffreyi Balf.,Jeffrey pine,Pinaceae,tree,Pinus,jeffreyi,0.434,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
117,pine,PILA,Pinus lambertiana Douglas,sugar pine,Pinaceae,tree,Pinus,lambertiana,0.557,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
95,spruce,PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce,Pinaceae,tree,Picea,mariana,0.608,sw5,-2.0773,2.3323,PiceaAbove0.35spg,conifer,Conifer,0.37,-2.1364,2.3233
119,pine,PIMO3,Pinus monticola Douglas ex D. Don,western white pine,Pinaceae,tree,Pinus,monticola,0.574,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
NA,pine,PINUS,Pinus L.,pine,Pinaceae,tree,NA,NA,0.84,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
121,pine,PIPA2,Pinus palustris Mill.,longleaf pine,Pinaceae,tree,Pinus,palustris,0.922,sw4,-2.5356,2.4349,PinusAbove0.45spg,conifer,Conifer,0.47,-3.0506,2.6465
122,pine,PIPO,Pinus ponderosa Lawson & C. Lawson,ponderosa pine,Pinaceae,tree,Pinus,ponderosa,0.434,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
NA,pine,PIPOS,Pinus ponderosa Lawson & C. Lawson var. scopulorum Engelm.,ponderosa pine,Pinaceae,tree,NA,NA,0.84,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
123,pine,PIPU5,Pinus pungens Lamb.,Table Mountain pine,Pinaceae,tree,Pinus,pungens,1.011,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
125,pine,PIRE,Pinus resinosa Aiton,red pine,Pinaceae,tree,Pinus,resinosa,0.729,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
126,pine,PIRI,Pinus rigida Mill.,pitch pine,Pinaceae,tree,Pinus,rigida,1.011,sw4,-2.5356,2.4349,PinusAbove0.45spg,conifer,Conifer,0.47,-3.0506,2.6465
8173,,PIRO6,Pilosocereus royenii (L.) Byles & Rowley,Royen's tree cactus,Cactaceae,cactus,Pilosocereus,royenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,spruce,PIRU,Picea rubens Sarg.,red spruce,Pinaceae,tree,Picea,rubens,0.608,sw5,-2.0773,2.3323,PiceaAbove0.35spg,conifer,Conifer,0.37,-2.1364,2.3233
127,pine,PISA2,Pinus sabiniana Douglas ex Douglas,California foothill pine,Pinaceae,tree,Pinus,sabiniana,0.458,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
129,pine,PIST,Pinus strobus L.,eastern white pine,Pinaceae,tree,Pinus,strobus,0.729,sw4,-2.5356,2.4349,PinusBelow0.45spg,conifer,Conifer,0.39,-2.6177,2.4638
NA,,PISTA,Pistacia L.,pistache,Anacardiaceae,tree,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,pine,PITA,Pinus taeda L.,loblolly pine,Pinaceae,tree,Pinus,taeda,0.763,sw4,-2.5356,2.4349,PinusAbove0.45spg,conifer,Conifer,0.47,-3.0506,2.6465
8223,woodland,PIUN,Pithecellobium unguis-cati (L.) Benth.,catclaw blackbead,Fabaceae,tree,Pithecellobium,unguis-cati,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
132,pine,PIVI2,Pinus virginiana Mill.,Virginia pine,Pinaceae,tree,Pinus,virginiana,1.011,sw4,-2.5356,2.4349,NA,NA,NA,NA,NA,NA
8266,mixed hardwood,PLAL,Plumeria alba L.,nosegaytree,Apocynaceae,tree,Plumeria,alba,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
722,mixed hardwood,PLAQ,Planera aquatica J.F. Gmel.,planertree,Ulmaceae,tree,Planera,aquatica,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
731,mixed hardwood,PLOC,Platanus occidentalis L.,American sycamore,Platanaceae,tree,Platanus,occidentalis,0.792,hw3,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
741,aspen/alder/cottonwood/willow,POBA2,Populus balsamifera L.,balsam poplar,Salicaceae,tree,Populus,balsamifera,0.691,hw1,-2.2094,2.3867,SalicaceaeBelow0.35spg,hardwood,Hardwood,0.31,-2.6863,2.4561
742,aspen/alder/cottonwood/willow,PODE3,Populus deltoides W. Bartram ex Marshall,eastern cottonwood,Salicaceae,tree,Populus,deltoides,0.691,hw1,-2.2094,2.3867,SalicaceaeAbove0.35spg,hardwood,Hardwood,0.36,-2.4441,2.4561
8275,woodland,POFL20,Poitea florida (Vahl) Lavin,wattapama,Fabaceae,tree,Poitea,florida,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
743,aspen/alder/cottonwood/willow,POGR4,Populus grandidentata Michx.,bigtooth aspen,Salicaceae,tree,Populus,grandidentata,0.691,hw1,-2.2094,2.3867,SalicaceaeAbove0.35spg,hardwood,Hardwood,0.36,-2.4441,2.4561
NA,woodland,POPA34,Poitea paucifolia (DC.) Lavin,retama,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,aspen/alder/cottonwood/willow,POPUL,Populus L.,cottonwood,Salicaceae,tree,NA,NA,0.84,hw1,-2.2094,2.3867,NA,NA,NA,NA,NA,NA
NA,,POSE,Poa secunda J. Presl,Sandberg bluegrass,Poaceae,graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,POTR4,Poncirus trifoliata (L.) Raf.,hardy orange,Rutaceae,shrub/tree,NA,NA,NA,NA,-2.48,2.4835,NA,NA,NA,NA,NA,NA
746,aspen/alder/cottonwood/willow,POTR5,Populus tremuloides Michx.,quaking aspen,Salicaceae,tree,Populus,tremuloides,0.691,hw1,-2.2094,2.3867,SalicaceaeAbove0.35spg,hardwood,Hardwood,0.36,-2.4441,2.4561
766,woodland,PRAM,Prunus americana Marshall,American plum,Rosaceae,shrub/tree,Prunus,americana,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,PRAN3,Prunus angustifolia Marshall,Chickasaw plum,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
771,mixed hardwood,PRAV,Prunus avium (L.) L.,sweet cherry,Rosaceae,shrub/tree,Prunus,avium,NA,NA,-2.48,2.4835,NA,NA,NA,NA,NA,NA
768,woodland,PREM,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry,Rosaceae,shrub/tree,Prunus,emarginata,0.964,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,PRENA,Prenanthes L.,rattlesnakeroot,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
756,woodland,PRGL2,Prosopis glandulosa Torr.,honey mesquite,Fabaceae,tree,Prosopis,glandulosa,0.651,NA,-0.7152,1.7029,Fabaceae/Juglandaceae/Other,NA,NA,NA,-2.5095,2.5437
NA,woodland,PRJU3,Prosopis juliflora (Sw.) DC.,mesquite,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,Fabaceae/Juglandaceae/Other,NA,NA,NA,-2.5095,2.5437
6708,woodland,PRME,Prunus mexicana S. Watson,Mexican plum,Rosaceae,shrub/tree,Prunus,mexicana,0.792,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,NA,NA,NA,-2.2118,2.4133
761,woodland,PRPE2,Prunus pensylvanica L. f.,pin cherry,Rosaceae,shrub/tree,Prunus,pensylvanica,0.792,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,PRPEP,Prunus pensylvanica L. f. var. pensylvanica,pin cherry,Rosaceae,shrub/tree,NA,NA,0.792,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,NA,NA,NA,-2.2118,2.4133
NA,,PRSE,Prenanthes serpentaria Pursh,cankerweed,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,mixed hardwood,PRSE2,Prunus serotina Ehrh.,black cherry,Rosaceae,shrub/tree,Prunus,serotina,0.792,NA,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
762,mixed hardwood,PRSES,Prunus serotina Ehrh. var. serotina,black cherry,Rosaceae,shrub/tree,NA,NA,0.792,NA,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,mixed hardwood,PRUM,Prunus umbellata Elliott,hog plum,Rosaceae,shrub/tree,NA,NA,0.792,NA,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,NA,NA,NA,-2.2118,2.4133
760,mixed hardwood,PRUNU,Prunus L.,plum,Rosaceae,shrub/tree,Prunus,spp.,0.792,NA,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,NA,NA,NA,-2.2118,2.4133
757,woodland,PRVE,Prosopis velutina Wooton,velvet mesquite,Fabaceae,tree,Prosopis,velutina,0.651,NA,-0.7152,1.7029,Fabaceae/Juglandaceae/Other,NA,NA,NA,-2.5095,2.5437
763,mixed hardwood,PRVI,Prunus virginiana L.,chokecherry,Rosaceae,shrub/tree,Prunus,virginiana,NA,NA,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
8355,woodland,PSCA,Psidium cattleianum Sabine,strawberry guava,Myrtaceae,shrub/tree,Psidium,cattleianum,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
8373,,PSHA3,Psychotria hawaiiensis (A. Gray) Fosberg,kopiko 'ula,Rubiaceae,shrub,Psychotria,hawaiiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,douglas,PSME,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir,Pinaceae,tree,Pseudotsuga,menziesii,0.526,sw3,-2.2304,2.4435,Pseudotsuga,conifer,Conifer,0.45,-2.4623,2.4852
NA,douglas,PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Douglas-fir,Pinaceae,tree,NA,NA,0.84,sw3,-2.2304,2.4435,Pseudotsuga,conifer,Conifer,0.45,-2.4623,2.4852
