FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
NA,aspen/alder/cottonwood/willow,ALINR,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Betulaceae,tree,NA,NA,0.84,hw1,-2.2094,2.3867,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
NA,aspen/alder/cottonwood/willow,ALINT,Alnus incana,thinleaf alder,Betulaceae,tree,NA,NA,0.84,hw1,-2.2094,2.3867,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
351,aspen/alder/cottonwood/willow,ALRU2,Alnus rubra Bong.,red alder,Betulaceae,tree,Alnus,rubra,0.75,hw1,-2.2094,2.3867,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
,,ALST11,Alyxia stellata,maile,,,,,,,,,,,,,,
NA,aspen/alder/cottonwood/willow,ALVI5,Alnus viridis,green alder,Betulaceae,tree,NA,NA,0.84,hw1,-2.2094,2.3867,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
NA,aspen/alder/cottonwood/willow,AMAL2,Amelanchier ainifolia,Saskatoon serviceberry,Rosaceae,tree,NA,NA,0.84,hw1,-2.2094,2.3867,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
357,woodland,AMAR3,Amelanchier arborea (Michx. f.) Fernald,common serviceberry,Rosaceae,shrub/tree,Amelanchier,arborea,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
852,,AMEL,Amyris elemifera L.,sea torchwood,Rutaceae,shrub,Amyris,elemifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,woodland,AMELA,Amelanchier Medik.,serviceberry,Rosaceae,shrub/tree,Amelanchier,spp.,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,AMFR,Amorpha fruticosa,false indigo bush,Fabaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,AMIN2,Amelanchier interior E.L. Nielsen,inland serviceberry,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
5203,woodland,AMLA,Amelanchier laevis Wiegand,Allegheny serviceberry,Rosaceae,shrub/tree,Amelanchier,laevis,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,AMMU2,Amphicarpum muehlenbergianum (Schult.) Hitchc.,Muhlenberg maidencane,Poaceae,graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,woodland,AMSA,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry,Rosaceae,shrub/tree,Amelanchier,sanguinea,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
6146,,ANAC4,Antirhea acutata (DC.) Urb.,placa chiquitu,Rubiaceae,shrub,Antirhea,acutata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ANAL12,Anisomeridium albisedum (Nyl.) R.C. Harris,anisomeridium lichen,Monoblastiaceae,lichen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6114,,ANIN,Andira inermis (W. Wright) Kunth ex DC.,cabbagebark tree,Fabaceae,shrub,Andira,inermis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ANTH2,Anisacanthus thurberi (Torr.) A. Gray,Thurber's desert honeysuckle,Acanthaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,ARCO3,Arctostaphylos columbiana Piper,hairy manzanita,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,ARFA,Argythamnia fasciculata (Vahl ex A. Juss.) MÃ¼ll. Arg.,broom silverbush,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ARFI2,Artemisia filifolia Torr.,sand sagebrush,Asteraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,ARNE,Arctostaphylos nevadensis A. Gray,pinemat manzanita,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,ARNO4,Artemisia nova A. Nelson,black sagebrush,Asteraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,ARPA6,Arctostaphylos patula Greene,greenleaf manzanita,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,mixed hardwood,ARSP2,Aralia spinosa L.,devil's walkingstick,Araliaceae,shrub/tree,NA,NA,NA,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,ARTR,Arisaema triphyllum (L.) Schott,Jack in the pulpit,Araceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
